IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
9,8,120876.233,68
9,10,79614.81411,32
9,11,107727.6886,57
9,12,118720.4038,67
9,13,125026.1977,70
9,14,142281.1884,81
9,15,75613.10128,27
9,16,87916.57364,40
9,17,111535.2817,61
9,18,117610.9854,64
9,19,99169.71619,50
9,20,64196.17885,20
9,21,48632.70335,9
9,22,135581.5182,79
9,23,54932.73978,14
9,24,145969.0875,83
9,25,126101.9748,71
9,26,63787.60209,19
9,27,91646.22814,44
9,28,77306.82219,30
9,29,118137.0435,65
9,30,55414.38161,15
9,31,109751.6628,60
9,32,134950.3962,78
9,33,85654.68312,37
9,34,99235.19445,51
9,35,96108.82171,46
9,36,126511.8389,72
9,37,86600.37305,38
9,38,108897.8217,58
9,39,137625.6601,80
9,40,186256.1886,87
9,41,186187.2057,86
9,42,62696.46083,18
9,43,48872.67387,10
9,44,47154.2119,8
9,45,44141.70149,7
9,46,78571.7994,31
9,47,67117.46572,23
9,48,154469.3622,84
9,49,106076.3076,55
9,50,54870.21258,13
9,51,84818.32068,35
9,52,99754.16694,52
9,53,32578.38649,5
9,54,121198.0921,69
9,55,179116.0101,85
9,56,66803.74776,22
9,57,74108.96672,26
9,58,52796.12366,12
9,59,82905.03784,33
9,60,109310.1911,59
9,61,88549.90176,41
9,62,101145.7135,53
9,63,126627.7186,73
9,64,134807.1425,77
9,65,87694.13618,39
9,66,59678.67475,16
9,67,97045.96981,47
9,68,111669.9411,62
9,69,127660.1215,74
9,70,83047.87793,34
9,71,32298.64006,4
9,72,90453.19616,42
9,73,114573.0419,63
9,74,73934.25717,25
9,75,99165.86938,49
9,76,49007.40033,11
9,77,105838.4078,54
9,78,92569.23728,45
9,79,76498.26343,29
9,80,64273.81764,21
9,81,144249.8535,82
9,82,118444.5783,66
9,83,73465.19097,24
9,84,29523.89092,3
9,85,85638.44456,36
9,86,28578.60965,2
9,87,39643.81054,6
9,88,28533.40237,1
10,1,12990.02332,5
10,2,29628.69259,22
10,3,19539.87603,9
10,4,50086.63042,55
10,5,18915.64469,8
10,6,42489.22411,43
10,7,68073.74827,77
10,8,53135.92471,63
10,9,79614.81411,83
10,11,28138.60779,19
10,12,39522.14174,36
10,13,45501.7224,48
10,14,62784.52576,74
10,15,11422.35855,3
10,16,11619.40356,4
10,17,32514.32253,27
10,18,63653.48424,75
10,19,20492.74351,12
10,20,21944.90506,13
10,21,43683.06032,44
10,22,56106.50068,68
10,23,33977.94311,29
10,24,66626.92061,76
10,25,47261.66149,51
10,26,30536.28603,24
10,27,22242.84753,14
10,28,22669.8804,15
10,29,40673.23744,39
10,30,51767.18046,59
10,31,36460.01423,33
10,32,57268.05933,69
10,33,34258.55107,30
10,34,32304.40333,26
10,35,43755.41054,45
10,36,53094.32136,62
10,37,77304.50077,81
10,38,61603.98706,72
10,39,79366.677,82
10,40,123334.6505,87
10,41,115032.3841,86
10,42,41234.99199,40
10,43,50963.30658,57
10,44,41747.09724,42
