OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
42,21,38,2,142,77365,8,1,7,0,11/17/2020 4:00 PM,0.00036901,0.12890319,0.00036901,0.12890319,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,1.7842579
43,22,83,1,34,77375,1536,164,1357,15,11/17/2020 4:00 PM,0.00845696,0.58992684,0.00845696,0.58992684,TOMBALL REGIONAL HOSPITAL,605, ,HOLDERRIETH, , ,TOMBALL,77375,2,0.0
44,22,84,1,34,77375,1536,164,1357,15,11/17/2020 4:00 PM,0.00845696,0.58992684,0.00845696,0.58992684,TEXAS SPORTS MEDICAL CENTER,611, ,HOLDERRIETH, , ,TOMBALL,77375,2,0.0
45,23,61,1,151,77429,2028,181,1839,8,11/17/2020 4:00 PM,0.00918202,0.6492009,0.00918202,0.64920091,CY-FAIR MEDICAL CENTER HOSPITAL,10655, ,STEEPLETOP,DR, , ,77065,2,1.64052029
46,23,55,2,151,77429,2028,181,1839,8,11/17/2020 4:00 PM,0.00918202,0.6492009,0.00918202,0.64920091,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,1.85009119
47,24,61,1,152,77433,2564,190,2356,18,11/17/2020 4:00 PM,0.01506583,0.83189303,0.01506583,0.83189303,CY-FAIR MEDICAL CENTER HOSPITAL,10655, ,STEEPLETOP,DR, , ,77065,2,5.03599713
48,24,55,2,152,77433,2564,190,2356,18,11/17/2020 4:00 PM,0.01506583,0.83189303,0.01506583,0.83189303,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,5.09524431
49,25,84,1,201,77447,422,34,386,2,11/17/2020 4:00 PM,0.01588124,0.82491054,0.01588124,0.82491054,TEXAS SPORTS MEDICAL CENTER,611, ,HOLDERRIETH, , ,TOMBALL,77375,2,6.66580391
50,25,83,2,201,77447,422,34,386,2,11/17/2020 4:00 PM,0.01588124,0.82491054,0.01588124,0.82491054,TOMBALL REGIONAL HOSPITAL,605, ,HOLDERRIETH, , ,TOMBALL,77375,2,6.75971221
51,26,66,1,2,77477,64,4,59,1,11/17/2020 4:00 PM,0.00013942,0.12205856,0.00013942,0.12205855,FOUNTAIN BROOK HOSPITAL,11919,W,AIRPORT,BLVD, ,SUGAR LAND,77477,2,0.56710733
52,26,36,2,2,77477,64,4,59,1,11/17/2020 4:00 PM,0.00013942,0.12205856,0.00013942,0.12205855,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,3.66760003
53,27,36,1,24,77489,251,19,228,4,11/17/2020 4:00 PM,9.891e-05,0.10815297,9.891e-05,0.10815296,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,2.79220926
54,27,66,2,24,77489,251,19,228,4,11/17/2020 4:00 PM,9.891e-05,0.10815297,9.891e-05,0.10815296,FOUNTAIN BROOK HOSPITAL,11919,W,AIRPORT,BLVD, ,SUGAR LAND,77477,2,3.00290711
55,28,75,1,103,77502,2336,129,2178,29,11/17/2020 4:00 PM,0.00135073,0.22317399,0.00135073,0.22317399,MEMORIAL HERMANN - PASADENA,906,E,SOUTHMORE, , ,PASADENA,77502,2,0.0
56,28,58,2,103,77502,2336,129,2178,29,11/17/2020 4:00 PM,0.00135073,0.22317399,0.00135073,0.22317399,BAYSHORE MEDICAL CENTER,4000, ,SPENCER HIGHWAY, , ,PASADENA,77504,2,0.26466641
57,29,56,1,109,77503,1287,74,1187,26,11/17/2020 4:00 PM,0.00217338,0.30192422,0.00217338,0.30192421,TRI CITY REGIONAL HOSPITAL,4040, ,RED BUFF, , ,PASADENA,77503,2,0.0
58,29,53,2,109,77503,1287,74,1187,26,11/17/2020 4:00 PM,0.00217338,0.30192422,0.00217338,0.30192421,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,0.07979861
59,30,58,1,105,77504,1291,56,1191,44,11/17/2020 4:00 PM,0.00125745,0.19206096,0.00125745,0.19206096,BAYSHORE MEDICAL CENTER,4000, ,SPENCER HIGHWAY, , ,PASADENA,77504,2,0.0
60,30,81,1,105,77504,1291,56,1191,44,11/17/2020 4:00 PM,0.00125745,0.19206096,0.00125745,0.19206096,SURGICAL OUTPATIENT HOSPITAL,3534, ,VISTA,RD, ,PASADENA,77504,2,0.0
61,31,68,1,136,77521,2393,144,2212,37,11/17/2020 4:00 PM,0.00906259,0.53001876,0.00906259,0.53001876,GULF COAST HOSPITAL,2800, ,GARTH,RD, , ,77521,2,0.0
62,31,78,1,136,77521,2393,144,2212,37,11/17/2020 4:00 PM,0.00906259,0.53001876,0.00906259,0.53001876,SAN JACINTO METHODIST HOSPITAL,4401, ,GARTH,RD, , ,77521,2,0.0
63,32,78,1,135,77535,6,0,6,0,11/17/2020 4:00 PM,0.00056412,0.38324108,0.00056412,0.38324108,SAN JACINTO METHODIST HOSPITAL,4401, ,GARTH,RD, , ,77521,2,7.92792129
64,32,68,2,135,77535,6,0,6,0,11/17/2020 4:00 PM,0.00056412,0.38324108,0.00056412,0.38324108,GULF COAST HOSPITAL,2800, ,GARTH,RD, , ,77521,2,9.13242731
65,33,53,1,122,77536,1292,107,1179,6,11/17/2020 4:00 PM,0.00354712,0.31554648,0.00354712,0.31554646,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,0.0
66,33,56,2,122,77536,1292,107,1179,6,11/17/2020 4:00 PM,0.00354712,0.31554648,0.00354712,0.31554646,TRI CITY REGIONAL HOSPITAL,4040, ,RED BUFF, , ,PASADENA,77503,2,0.40275284
67,34,64,1,69,77547,502,25,469,8,11/17/2020 4:00 PM,0.0008358,0.12349302,0.0008358,0.12349302,DEATON HOSPITAL,206,N,MAIN, , ,GALENA PARK,77547,2,0.0
