OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
131,66,14,1,221,77011,1082,84,965,33,11/17/2020 4:00 PM,0.00088111,0.17311426,0.00088111,0.17311426,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,1.10146486
132,66,13,2,221,77011,1082,84,965,33,11/17/2020 4:00 PM,0.00088111,0.17311426,0.00088111,0.17311426,RIVERSIDE GENERAL HOSPITAL,3204, ,ENNIS ST, , ,HOUSTON,77004,2,1.88448664
133,67,9,1,183,77024,898,124,765,9,11/17/2020 4:00 PM,0.00310219,0.41473694,0.00310219,0.41473694,MEMORIAL HOSPITAL - MEMORIAL CITY,920, ,FROSTWOOD, , ,HOUSTON,77024,2,0.0
134,67,54,1,183,77024,898,124,765,9,11/17/2020 4:00 PM,0.00310219,0.41473694,0.00310219,0.41473694,WEST HOUSTON SURGICARE,970, ,CAMPBELL, , ,HEDWIG VILLAGE,77024,2,0.0
135,68,7,1,45,77026,972,58,888,26,11/17/2020 4:00 PM,0.00157844,0.17605496,0.00157844,0.17605497,LYNDON B. JOHNSON HOSPITAL,5656, ,KELLEY, , ,HOUSTON,77026,1,0.0
136,68,14,2,45,77026,972,58,888,26,11/17/2020 4:00 PM,0.00157844,0.17605496,0.00157844,0.17605497,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,0.49519136
137,69,18,1,62,77057,1377,128,1223,26,11/17/2020 4:00 PM,0.00103277,0.17681171,0.00103277,0.17681171,WEST OAKS HOSPITAL,6500, ,HORNWOOD, , ,HOUSTON,77074,2,0.9155498
138,69,17,2,62,77057,1377,128,1223,26,11/17/2020 4:00 PM,0.00103277,0.17681171,0.00103277,0.17681171,SHARPSTOWN GENERAL HOSPITAL,6700, ,BELLAIRE,BLVD, ,HOUSTON,77074,2,1.1060866
139,70,10,1,63,77063,1329,119,1190,20,11/17/2020 4:00 PM,0.00105133,0.22462942,0.00105133,0.22462942,COLUMBIA ROSEWOOD MEDICAL CENTER,9200, ,WESTHEIMER, , ,HOUSTON,77063,2,0.0
140,70,18,2,63,77063,1329,119,1190,20,11/17/2020 4:00 PM,0.00105133,0.22462942,0.00105133,0.22462942,WEST OAKS HOSPITAL,6500, ,HORNWOOD, , ,HOUSTON,77074,2,0.92844882
141,71,55,1,39,77065,1111,91,1017,3,11/17/2020 4:00 PM,0.00206219,0.29698384,0.00206219,0.29698384,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,0.0
142,71,61,1,39,77065,1111,91,1017,3,11/17/2020 4:00 PM,0.00206219,0.29698384,0.00206219,0.29698384,CY-FAIR MEDICAL CENTER HOSPITAL,10655, ,STEEPLETOP,DR, , ,77065,2,0.0
143,72,77,1,54,77066,1180,102,1074,4,11/17/2020 4:00 PM,0.00211834,0.24190268,0.00211834,0.24190268,METHODIST WILLOWBROOK HOSPITAL,18220, ,TOMBALL,PKWY, ,HOUSTON,77070,2,0.84385237
144,72,59,2,54,77066,1180,102,1074,4,11/17/2020 4:00 PM,0.00211834,0.24190268,0.00211834,0.24190268,CHAMPIONS PSYCHIATRIC CENTER,14320, ,WALTERS,RD, , ,77014,2,1.16557085
145,73,59,1,51,77068,360,33,323,4,11/17/2020 4:00 PM,0.00093739,0.19806748,0.00093739,0.19806749,CHAMPIONS PSYCHIATRIC CENTER,14320, ,WALTERS,RD, , ,77014,2,0.23301647
146,73,69,2,51,77068,360,33,323,4,11/17/2020 4:00 PM,0.00093739,0.19806748,0.00093739,0.19806749,HEALTH SOUTH REHALIBITATION INSTITUTE,17506, ,RED OAK,DR, , ,77090,2,1.22915382
147,74,108,1,166,77056,660,101,554,5,11/17/2020 4:00 PM,0.00082364,0.15126316,0.00082364,0.15126316,HOUSTON DAY HOSPITAL,4665, ,SOUTHWEST FRWY, , ,HOUSTON,77027,2,0.39215649
148,74,11,2,166,77056,660,101,554,5,11/17/2020 4:00 PM,0.00082364,0.15126316,0.00082364,0.15126316,TWELVE OAKS HOSPITAL / BAYOU CITY MEDICAL CENTER,4200, ,PORTSMOUTH, , ,HOUSTON,77027,2,0.92460186
149,75,48,1,113,77062,652,73,570,9,11/17/2020 4:00 PM,0.00137313,0.17725438,0.00137313,0.17725439,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,0.54163468
150,75,60,2,113,77062,652,73,570,9,11/17/2020 4:00 PM,0.00137313,0.17725438,0.00137313,0.17725439,CLEAR LAKE REGIONAL MEDICAL CENTER,500, ,MEDICAL CENTER,BLVD, ,WEBSTER,77598,2,0.66296229
151,76,59,1,77,77067,1184,80,1095,9,11/17/2020 4:00 PM,0.00146311,0.20333346,0.00146311,0.20333346,CHAMPIONS PSYCHIATRIC CENTER,14320, ,WALTERS,RD, , ,77014,2,1.812428
152,76,71,2,77,77067,1184,80,1095,9,11/17/2020 4:00 PM,0.00146311,0.20333346,0.00146311,0.20333346,HOUSTON NW MEDICAL CENTER,710, ,FM 1960 WEST, , ,HOUSTON,77090,2,3.61816091
153,77,50,1,124,77075,1735,146,1567,22,11/17/2020 4:00 PM,0.00283449,0.30130224,0.00283449,0.30130225,MEMORIAL HOSPITAL - SOUTHEAST,11800, ,ASTORIA,BLVD, ,HOUSTON,77089,2,2.13834668
154,77,81,2,124,77075,1735,146,1567,22,11/17/2020 4:00 PM,0.00283449,0.30130224,0.00283449,0.30130225,SURGICAL OUTPATIENT HOSPITAL,3534, ,VISTA,RD, ,PASADENA,77504,2,3.17446738
155,78,8,1,65,77072,2620,161,2399,60,11/17/2020 4:00 PM,0.00178503,0.1926629,0.00178503,0.1926629,HCA W. HOUSTON MEDICAL CENTER,12141, ,RICHMOND,AVE, ,HOUSTON,77082,2,0.96571641
156,78,85,2,65,77072,2620,161,2399,60,11/17/2020 4:00 PM,0.00178503,0.1926629,0.00178503,0.1926629,HEALTH BRIDGE CHILDREN'S HOSPITAL,2929, ,WOODLAND PARK, , ,HOUSTON,77082,2,1.11461491
157,79,100,1,78,77073,2121,176,1933,12,11/17/2020 4:00 PM,0.00394974,0.3929991,0.00394974,0.3929991,TRIUMPH HOSPITAL NORTHWEST HOUSTON,205, ,HOLLOW TREE,LN, ,HOUSTON,77090,2,0.55248274
158,79,65,2,78,77073,2121,176,1933,12,11/17/2020 4:00 PM,0.00394974,0.3929991,0.00394974,0.3929991,FOREST SPRING HOSPITAL,1120, ,CYPRESS STATION,DR, ,HOUSTON,77090,2,0.730929
159,80,1,1,74,77076,1603,126,1455,22,11/17/2020 4:00 PM,0.00119516,0.19487934,0.00119516,0.19487934,DOCTOR'S HOSPITAL - PARKWAY,233,W,PARKER,RD, ,HOUSTON,77076,2,0.0
160,80,43,1,74,77076,1603,126,1455,22,11/17/2020 4:00 PM,0.00119516,0.19487934,0.00119516,0.19487934,HCA N. HOUSTON MEDICAL CENTER PARKVIEW,7407, ,NORTH FREEWAY, , ,HOUSTON,77076,2,0.0
161,81,15,1,88,77078,730,45,677,8,11/17/2020 4:00 PM,0.00235859,0.26550901,0.00235859,0.265509,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,1.47074276
162,81,7,2,88,77078,730,45,677,8,11/17/2020 4:00 PM,0.00235859,0.26550901,0.00235859,0.265509,LYNDON B. JOHNSON HOSPITAL,5656, ,KELLEY, , ,HOUSTON,77026,1,2.92811956
163,82,9,1,116,77079,874,103,767,4,11/17/2020 4:00 PM,0.001862,0.25156519,0.001862,0.25156519,MEMORIAL HOSPITAL - MEMORIAL CITY,920, ,FROSTWOOD, , ,HOUSTON,77024,2,0.96069501
164,82,85,2,116,77079,874,103,767,4,11/17/2020 4:00 PM,0.001862,0.25156519,0.001862,0.25156519,HEALTH BRIDGE CHILDREN'S HOSPITAL,2929, ,WOODLAND PARK, , ,HOUSTON,77082,2,1.96583502
165,83,3,1,44,77080,1992,110,1855,27,11/17/2020 4:00 PM,0.00158121,0.21725268,0.00158121,0.21725269,SPRING BRANCH MEDICAL CENTER,8850, ,LONG POINT, , ,HOUSTON,77055,2,0.04292153
166,83,2,2,44,77080,1992,110,1855,27,11/17/2020 4:00 PM,0.00158121,0.21725268,0.00158121,0.21725269,MEMORIAL SPRING SHADOWS GLEN HOSPITAL,2801, ,GESSNER, , ,HOUSTON,77080,2,0.06552227
167,84,90,1,41,77084,4819,405,4393,21,11/17/2020 4:00 PM,0.0076727,0.46564401,0.0076727,0.465644,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,0.68304352
168,84,2,2,41,77084,4819,405,4393,21,11/17/2020 4:00 PM,0.0076727,0.46564401,0.0076727,0.465644,MEMORIAL SPRING SHADOWS GLEN HOSPITAL,2801, ,GESSNER, , ,HOUSTON,77080,2,3.49951873
169,85,47,1,120,77093,2408,150,2229,29,11/17/2020 4:00 PM,0.00289542,0.24567979,0.00289542,0.24567979,HOUSTON COMMUNITY HOSPITAL - NORTHSIDE,2807,W,LITTLE YORK,RD, , ,77093,2,0.0
170,85,7,2,120,77093,2408,150,2229,29,11/17/2020 4:00 PM,0.00289542,0.24567979,0.00289542,0.24567979,LYNDON B. JOHNSON HOSPITAL,5656, ,KELLEY, , ,HOUSTON,77026,1,1.55401139
171,86,55,1,40,77095,1917,183,1716,18,11/17/2020 4:00 PM,0.00355862,0.33649403,0.00355862,0.33649403,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,1.82473687
172,86,61,2,40,77095,1917,183,1716,18,11/17/2020 4:00 PM,0.00355862,0.33649403,0.00355862,0.33649403,CY-FAIR MEDICAL CENTER HOSPITAL,10655, ,STEEPLETOP,DR, , ,77065,2,1.86247358
173,87,36,1,60,77096,979,88,880,11,11/17/2020 4:00 PM,0.00148269,0.19930339,0.00148269,0.19930339,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,0.47149458
174,87,39,2,60,77096,979,88,880,11,11/17/2020 4:00 PM,0.00148269,0.19930339,0.00148269,0.19930339,MEDICAL CENTER HOSPITAL - BELLAIRE,5314, ,DASHWOOD, , ,HOUSTON,77081,2,1.17371263
175,88,85,1,46,77077,2087,172,1897,18,11/17/2020 4:00 PM,0.00215088,0.24140735,0.00215088,0.24140735,HEALTH BRIDGE CHILDREN'S HOSPITAL,2929, ,WOODLAND PARK, , ,HOUSTON,77082,2,0.14773191
176,88,8,2,46,77077,2087,172,1897,18,11/17/2020 4:00 PM,0.00215088,0.24140735,0.00215088,0.24140735,HCA W. HOUSTON MEDICAL CENTER,12141, ,RICHMOND,AVE, ,HOUSTON,77082,2,0.24449772
177,89,39,1,167,77081,2112,127,1956,29,11/17/2020 4:00 PM,0.000747,0.1914848,0.000747,0.1914848,MEDICAL CENTER HOSPITAL - BELLAIRE,5314, ,DASHWOOD, , ,HOUSTON,77081,2,0.0
178,89,18,2,167,77081,2112,127,1956,29,11/17/2020 4:00 PM,0.000747,0.1914848,0.000747,0.1914848,WEST OAKS HOSPITAL,6500, ,HORNWOOD, , ,HOUSTON,77074,2,0.16828718
179,90,5,1,72,77092,1406,117,1269,20,11/17/2020 4:00 PM,0.00193694,0.27199565,0.00193694,0.27199565,MEMORIAL HOSPITAL - NORTHWEST,1635,N,LOOP, ,W,HOUSTON,77008,2,0.6852282
180,90,3,2,72,77092,1406,117,1269,20,11/17/2020 4:00 PM,0.00193694,0.27199565,0.00193694,0.27199565,SPRING BRANCH MEDICAL CENTER,8850, ,LONG POINT, , ,HOUSTON,77055,2,1.70366932
181,91,36,1,168,77035,1457,109,1324,24,11/17/2020 4:00 PM,0.00145835,0.24773207,0.00145835,0.24773207,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,0.0
182,91,39,2,168,77035,1457,109,1324,24,11/17/2020 4:00 PM,0.00145835,0.24773207,0.00145835,0.24773207,MEDICAL CENTER HOSPITAL - BELLAIRE,5314, ,DASHWOOD, , ,HOUSTON,77081,2,2.63385564
183,92,43,1,75,77037,954,60,884,10,11/17/2020 4:00 PM,0.00161586,0.27149283,0.00161586,0.27149284,HCA N. HOUSTON MEDICAL CENTER PARKVIEW,7407, ,NORTH FREEWAY, , ,HOUSTON,77076,2,0.22128703
184,92,1,2,75,77037,954,60,884,10,11/17/2020 4:00 PM,0.00161586,0.27149283,0.00161586,0.27149284,DOCTOR'S HOSPITAL - PARKWAY,233,W,PARKER,RD, ,HOUSTON,77076,2,0.76127666
185,93,55,1,48,77040,1945,158,1763,24,11/17/2020 4:00 PM,0.00337194,0.3454231,0.00337194,0.34542309,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,1.83412818
186,93,61,2,48,77040,1945,158,1763,24,11/17/2020 4:00 PM,0.00337194,0.3454231,0.00337194,0.34542309,CY-FAIR MEDICAL CENTER HOSPITAL,10655, ,STEEPLETOP,DR, , ,77065,2,2.05665885
187,94,11,1,226,77098,380,48,326,6,11/17/2020 4:00 PM,0.00042817,0.10200025,0.00042817,0.10200024,TWELVE OAKS HOSPITAL / BAYOU CITY MEDICAL CENTER,4200, ,PORTSMOUTH, , ,HOUSTON,77027,2,0.90961598
188,94,27,2,226,77098,380,48,326,6,11/17/2020 4:00 PM,0.00042817,0.10200025,0.00042817,0.10200024,PARK PLAZA HOSPITAL,1313, ,HERMANN,DR, ,HOUSTON,77004,2,0.91590607
189,95,38,1,153,77339,451,66,362,23,11/17/2020 4:00 PM,0.00318266,0.26350602,0.00318266,0.26350602,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,0.0
190,95,72,1,153,77339,451,66,362,23,11/17/2020 4:00 PM,0.00318266,0.26350602,0.00318266,0.26350602,KINGWOOD URGING CARE,2313, ,TIMBER SHADOWS,DR, ,HOUSTON,77339,2,0.0
191,96,100,1,101,77373,1814,163,1628,23,11/17/2020 4:00 PM,0.00579192,0.42171538,0.00579192,0.42171538,TRIUMPH HOSPITAL NORTHWEST HOUSTON,205, ,HOLLOW TREE,LN, ,HOUSTON,77090,2,0.81194634
192,96,65,2,101,77373,1814,163,1628,23,11/17/2020 4:00 PM,0.00579192,0.42171538,0.00579192,0.42171538,FOREST SPRING HOSPITAL,1120, ,CYPRESS STATION,DR, ,HOUSTON,77090,2,1.04523918
193,98,100,1,35,77388,1202,119,1074,9,11/17/2020 4:00 PM,0.00321218,0.34008801,0.00321218,0.34008802,TRIUMPH HOSPITAL NORTHWEST HOUSTON,205, ,HOLLOW TREE,LN, ,HOUSTON,77090,2,0.56174298
194,98,69,2,35,77388,1202,119,1074,9,11/17/2020 4:00 PM,0.00321218,0.34008801,0.00321218,0.34008802,HEALTH SOUTH REHALIBITATION INSTITUTE,17506, ,RED OAK,DR, , ,77090,2,0.60585705
195,99,2,1,70,77043,972,91,865,16,11/17/2020 4:00 PM,0.00276179,0.2787022,0.00276179,0.27870219,MEMORIAL SPRING SHADOWS GLEN HOSPITAL,2801, ,GESSNER, , ,HOUSTON,77080,2,0.0
196,99,9,2,70,77043,972,91,865,16,11/17/2020 4:00 PM,0.00276179,0.2787022,0.00276179,0.27870219,MEMORIAL HOSPITAL - MEMORIAL CITY,920, ,FROSTWOOD, , ,HOUSTON,77024,2,0.16968149
197,100,36,1,118,77045,1720,136,1555,29,11/17/2020 4:00 PM,0.00304558,0.27926945,0.00304558,0.27926945,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,0.86222712
198,100,24,2,118,77045,1720,136,1555,29,11/17/2020 4:00 PM,0.00304558,0.27926945,0.00304558,0.27926945,INTRACARE HOSPITAL,7601, ,FANNIN, , ,HOUSTON,77054,2,1.42265567
199,101,72,1,83,77336,247,17,228,2,11/17/2020 4:00 PM,0.01121723,0.49817492,0.01121723,0.49817492,KINGWOOD URGING CARE,2313, ,TIMBER SHADOWS,DR, ,HOUSTON,77339,2,4.64745029
200,101,38,2,83,77336,247,17,228,2,11/17/2020 4:00 PM,0.01121723,0.49817492,0.01121723,0.49817492,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,4.8187212
201,102,37,1,144,77338,1670,116,1510,44,11/17/2020 4:00 PM,0.00663469,0.58390629,0.00663469,0.58390629,NORTHEAST MEDICAL CENTER,18951,N,MEMORIAL,BLVD, ,HUMBLE,77338,2,0.0
202,102,70,1,144,77338,1670,116,1510,44,11/17/2020 4:00 PM,0.00663469,0.58390629,0.00663469,0.58390629,HEALTH SOUTH REHABILITATION HOSPITAL OF HUMBLE,19002, ,MC KAY,DR, ,HUMBLE,77338,2,0.0
203,103,38,1,141,77346,2012,154,1842,16,11/17/2020 4:00 PM,0.00535697,0.3709042,0.00535697,0.3709042,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,2.01334491
204,103,72,2,141,77346,2012,154,1842,16,11/17/2020 4:00 PM,0.00535697,0.3709042,0.00535697,0.3709042,KINGWOOD URGING CARE,2313, ,TIMBER SHADOWS,DR, ,HOUSTON,77339,2,2.35372876
205,106,84,1,33,77377,795,99,689,7,11/17/2020 4:00 PM,0.00873757,0.71781419,0.00873757,0.71781419,TEXAS SPORTS MEDICAL CENTER,611, ,HOLDERRIETH, , ,TOMBALL,77375,2,0.4527444
206,106,83,2,33,77377,795,99,689,7,11/17/2020 4:00 PM,0.00873757,0.71781419,0.00873757,0.71781419,TOMBALL REGIONAL HOSPITAL,605, ,HOLDERRIETH, , ,TOMBALL,77375,2,0.55105419
207,108,91,1,143,77386,9,1,8,0,11/17/2020 4:00 PM,4.882e-05,0.22369601,4.882e-05,0.22369602,KINGWOOD MEDICAL CENTER,22999, ,US HIGHWAY 59, ,N,HOUSTON,77339,2,1.35017981
208,108,38,2,143,77386,9,1,8,0,11/17/2020 4:00 PM,4.882e-05,0.22369601,4.882e-05,0.22369602,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,2.16128991
209,109,42,1,96,77048,839,50,777,12,11/17/2020 4:00 PM,0.00259561,0.26874414,0.00259561,0.26874414,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,1.96170021
210,109,35,2,96,77048,839,50,777,12,11/17/2020 4:00 PM,0.00259561,0.26874414,0.00259561,0.26874414,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,2.69013062
211,110,16,1,91,77049,1625,114,1488,23,11/17/2020 4:00 PM,0.00654372,0.55109318,0.00654372,0.55109318,EAST HOUSTON REGIONAL MEDICAL CENTER,13111, ,EAST FREEWAY, , ,HOUSTON,77015,2,1.87573798
212,110,89,2,91,77049,1625,114,1488,23,11/17/2020 4:00 PM,0.00654372,0.55109318,0.00654372,0.55109318,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,1.87730458
213,111,69,1,36,77389,799,86,709,4,11/17/2020 4:00 PM,0.0052747,0.46966232,0.0052747,0.46966233,HEALTH SOUTH REHALIBITATION INSTITUTE,17506, ,RED OAK,DR, , ,77090,2,3.58119321
214,111,100,2,36,77389,799,86,709,4,11/17/2020 4:00 PM,0.0052747,0.46966232,0.0052747,0.46966233,TRIUMPH HOSPITAL NORTHWEST HOUSTON,205, ,HOLLOW TREE,LN, ,HOUSTON,77090,2,3.68364662
215,112,90,1,100,77449,5022,324,4650,48,11/17/2020 4:00 PM,0.00656889,0.42880766,0.00656889,0.42880765,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,0.68673206
216,112,74,2,100,77449,5022,324,4650,48,11/17/2020 4:00 PM,0.00656889,0.42880766,0.00656889,0.42880765,MEMORIAL HERMANN - KATY HOSPITAL,5602, ,MEDICAL CENTER, , ,KATY,77494,2,2.7446206
217,113,84,1,256,77484,105,6,98,1,11/17/2020 4:00 PM,0.00790318,0.53439524,0.00790318,0.53439525,TEXAS SPORTS MEDICAL CENTER,611, ,HOLDERRIETH, , ,TOMBALL,77375,2,13.04648623
218,113,83,2,256,77484,105,6,98,1,11/17/2020 4:00 PM,0.00790318,0.53439524,0.00790318,0.53439525,TOMBALL REGIONAL HOSPITAL,605, ,HOLDERRIETH, , ,TOMBALL,77375,2,13.12936811
219,114,66,1,27,77498,8,0,8,0,11/17/2020 4:00 PM,8.58e-06,0.02335223,8.58e-06,0.02335223,FOUNTAIN BROOK HOSPITAL,11919,W,AIRPORT,BLVD, ,SUGAR LAND,77477,2,2.12469765
220,114,8,2,27,77498,8,0,8,0,11/17/2020 4:00 PM,8.58e-06,0.02335223,8.58e-06,0.02335223,HCA W. HOUSTON MEDICAL CENTER,12141, ,RICHMOND,AVE, ,HOUSTON,77082,2,4.11499602
221,115,53,1,110,77505,929,84,830,15,11/17/2020 4:00 PM,0.00200578,0.2562142,0.00200578,0.2562142,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,0.21398281
222,115,104,2,110,77505,929,84,830,15,11/17/2020 4:00 PM,0.00200578,0.2562142,0.00200578,0.2562142,VISTA MEDICAL CENTER,4301, ,VISTA, , ,PASADENA,77504,2,0.23195738
223,116,96,1,102,77506,2055,101,1934,20,11/17/2020 4:00 PM,0.00250719,0.23606729,0.00250719,0.23606729,KINDRED BAY AREA HOSPITAL,1004, ,SEYMOUR,DR, ,PASADENA,77506,2,0.0
224,116,75,2,102,77506,2055,101,1934,20,11/17/2020 4:00 PM,0.00250719,0.23606729,0.00250719,0.23606729,MEMORIAL HERMANN - PASADENA,906,E,SOUTHMORE, , ,PASADENA,77502,2,0.09338673
225,117,57,1,138,77523,44,2,42,0,11/17/2020 4:00 PM,0.00090453,0.23572453,0.00090453,0.23572453,TRIUMPH HOSPITAL BAYTOWN,1700, ,JAMES BOWIE DR, , , ,77520,2,0.83750319
226,117,107,2,138,77523,44,2,42,0,11/17/2020 4:00 PM,0.00090453,0.23572453,0.00090453,0.23572453,SAN JACINTO METHODIST HOSPITAL,1101, ,DECKER,DR, , ,77520,2,1.52453153
227,118,47,1,82,77050,157,5,148,4,11/17/2020 4:00 PM,0.00182927,0.23270183,0.00182927,0.23270183,HOUSTON COMMUNITY HOSPITAL - NORTHSIDE,2807,W,LITTLE YORK,RD, , ,77093,2,2.49328202
228,118,86,2,82,77050,157,5,148,4,11/17/2020 4:00 PM,0.00182927,0.23270183,0.00182927,0.23270183,HEALTHSOUTH NORTHEAST SURGERY CENTER,18929, ,EASTEX FREEWAY, , ,HUMBLE,77338,2,4.98302123
229,119,36,1,126,77053,828,51,761,16,11/17/2020 4:00 PM,0.0009508,0.16091564,0.0009508,0.16091565,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,2.83068571
230,119,24,2,126,77053,828,51,761,16,11/17/2020 4:00 PM,0.0009508,0.16091564,0.0009508,0.16091565,INTRACARE HOSPITAL,7601, ,FANNIN, , ,HOUSTON,77054,2,5.41588596
231,120,39,1,194,77401,291,29,261,1,11/17/2020 4:00 PM,0.00089756,0.16864967,0.00089756,0.16864966,MEDICAL CENTER HOSPITAL - BELLAIRE,5314, ,DASHWOOD, , ,HOUSTON,77081,2,0.04107747
232,120,108,2,194,77401,291,29,261,1,11/17/2020 4:00 PM,0.00089756,0.16864967,0.00089756,0.16864966,HOUSTON DAY HOSPITAL,4665, ,SOUTHWEST FRWY, , ,HOUSTON,77027,2,0.26594829
233,121,90,1,32,77407,18,0,18,0,11/17/2020 4:00 PM,4.8e-07,0.00358793,4.8e-07,0.00358793,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,5.12611664
234,121,8,2,32,77407,18,0,18,0,11/17/2020 4:00 PM,4.8e-07,0.00358793,4.8e-07,0.00358793,HCA W. HOUSTON MEDICAL CENTER,12141, ,RICHMOND,AVE, ,HOUSTON,77082,2,5.40309674
235,122,53,1,111,77507,26,2,24,0,11/17/2020 4:00 PM,0.00347301,0.33047978,0.00347301,0.33047979,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,1.33409035
236,122,56,2,111,77507,26,2,24,0,11/17/2020 4:00 PM,0.00347301,0.33047978,0.00347301,0.33047979,TRI CITY REGIONAL HOSPITAL,4040, ,RED BUFF, , ,PASADENA,77503,2,2.57312061
237,123,57,1,137,77520,1728,77,1620,31,11/17/2020 4:00 PM,0.00757956,0.55631302,0.00757956,0.55631302,TRIUMPH HOSPITAL BAYTOWN,1700, ,JAMES BOWIE DR, , , ,77520,2,0.0
238,123,107,1,137,77520,1728,77,1620,31,11/17/2020 4:00 PM,0.00757956,0.55631302,0.00757956,0.55631302,SAN JACINTO METHODIST HOSPITAL,1101, ,DECKER,DR, , ,77520,2,0.0
239,124,106,1,16,77565,1,0,1,0,11/17/2020 4:00 PM,1.467e-05,0.05649202,1.467e-05,0.05649202,CHRISTUS ST. JOHN HOSPITAL,18300, ,ST JOHN,DR, ,NASSAU BAY,77058,2,1.55130146
240,124,48,2,16,77565,1,0,1,0,11/17/2020 4:00 PM,1.467e-05,0.05649202,1.467e-05,0.05649202,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,3.32900519
241,125,81,1,104,77587,1056,58,986,12,11/17/2020 4:00 PM,0.00071785,0.12830559,0.00071785,0.12830559,SURGICAL OUTPATIENT HOSPITAL,3534, ,VISTA,RD, ,PASADENA,77504,2,1.15564655
242,125,75,2,104,77587,1056,58,986,12,11/17/2020 4:00 PM,0.00071785,0.12830559,0.00071785,0.12830559,MEMORIAL HERMANN - PASADENA,906,E,SOUTHMORE, , ,PASADENA,77502,2,1.44017326
243,126,48,1,106,77598,739,41,690,8,11/17/2020 4:00 PM,0.00310343,0.37805089,0.00310343,0.3780509,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,0.0
244,126,60,1,106,77598,739,41,690,8,11/17/2020 4:00 PM,0.00310343,0.37805089,0.00310343,0.3780509,CLEAR LAKE REGIONAL MEDICAL CENTER,500, ,MEDICAL CENTER,BLVD, ,WEBSTER,77598,2,0.0
245,127,99,1,89,77530,1491,77,1393,21,11/17/2020 4:00 PM,0.00413342,0.35817075,0.00413342,0.35817075,TRIUMPH HOSPITAL EAST HOUSTON,15101, ,EAST FREEWAY, , , ,77530,2,0.0
246,127,16,2,89,77530,1491,77,1393,21,11/17/2020 4:00 PM,0.00413342,0.35817075,0.00413342,0.35817075,EAST HOUSTON REGIONAL MEDICAL CENTER,13111, ,EAST FREEWAY, , ,HOUSTON,77015,2,2.21209906
247,128,78,1,93,77532,1151,55,1073,23,11/17/2020 4:00 PM,0.02106387,0.67653012,0.02106387,0.67653012,SAN JACINTO METHODIST HOSPITAL,4401, ,GARTH,RD, , ,77521,2,5.14184975
248,128,99,2,93,77532,1151,55,1073,23,11/17/2020 4:00 PM,0.02106387,0.67653012,0.02106387,0.67653012,TRIUMPH HOSPITAL EAST HOUSTON,15101, ,EAST FREEWAY, , , ,77530,2,6.06423873
249,129,53,1,95,77571,1238,82,1144,12,11/17/2020 4:00 PM,0.00942144,0.58282593,0.00942144,0.58282593,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,1.05857304
