Join_Count,TARGET_FID,JOIN_FID,Shape_Leng,ZipCode,City,Pop2018,FYpop,Pop2019,STATE,COUNTY,LOCATION,SPL_THEMES,RPL_THEMES,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape_Length_1,Shape_Area_1
1,31,51,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2228, Harris County, Texas",9.7751,0.8528,2.59795912,3148,295,928,47,872,54,1018,283,63,38,13865,2194,1152,146,159,40,1017,171,241,72,180,72.6,2812,305.9,1057,194.7,11,19.8,385,67,76,39.5,29,28,0,13,32.3,7.7,4.7,2.9,13865,2194,65.7,6.1,5.1,1.4,32.3,4.5,7.7,2.3,20.6,8.2,89.3,4.9,36.9,5.8,1.2,2.1,41.5,6.9,8.7,4.5,3.3,3.2,0,0.4,0.906,0.4219,0.9503,0.9993,3.2775,0.8753,0.0351,0.945,0.1478,0.9405,2.0684,0.5354,0.9038,0.9949,1.8987,0.9732,0.3217,0.9826,0.895,0.3312,0,2.5305,0.5921,1,0,1,1,3,0,1,0,1,2,1,1,2,0,1,0,0,0,1,8,1368,291,43.5,7.7,10646,12424.38326,9002921.327
1,31,52,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2229, Harris County, Texas",8.9649,0.7567,2.23941979,7548,1009,2276,85,2017,153,1755,756,60,55,15878,2428,1879,454,970,142,2313,517,564,219,261,146.2,7249,1028.2,1863,583.3,38,62,174,101,107,82.9,38,59,0,19,23.3,9,1.9,1.8,15878,2428,43.2,8.4,12.9,1.8,30.6,5.5,7.5,2.7,12.9,7.2,96,4.6,25.4,7.2,1.7,2.7,7.6,4.4,5.3,4.1,1.9,2.9,0,0.3,0.7982,0.0766,0.9127,0.9788,2.7663,0.7425,0.3569,0.9143,0.1364,0.7746,2.1822,0.6135,0.9521,0.9756,1.9277,0.9838,0.3594,0.7495,0.797,0.1828,0,2.0887,0.3965,0,0,1,1,2,0,1,0,0,1,1,1,2,0,0,0,0,0,0,5,2242,660,29.7,6.9,3707,12267.33021,7793128.341
1,31,53,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2230.01, Harris County, Texas",9.6127,0.8351,1.19841852,4465,403,1107,20,1057,42,1762,403,72,48,12622,1593,1088,181,246,43,1713,255,138,61,257,88.2,4279,411.5,1494,280.2,323,82.9,0,13,93,52.4,82,50,0,13,39.6,8.7,4.1,2.6,12622,1593,48.1,6.6,5.5,1,38.4,4.5,3.1,1.4,24.3,8.3,95.8,3.2,37,6.1,29.2,7.5,0,3.5,8.8,4.9,7.8,4.7,0,0.3,0.9525,0.3411,0.9686,0.9884,3.2506,0.869,0.0423,0.9915,0.0073,0.9712,2.0123,0.4957,0.9504,0.995,1.9454,0.9897,0.868,0,0.8969,0.6395,0,2.4044,0.5353,1,0,1,1,3,0,1,0,1,2,1,1,2,0,0,0,0,0,0,7,1773,325,39.7,5.9,1470,9213.392968,4237252.717
1,31,55,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2231, Harris County, Texas",9.6232,0.8364,1.83464744,2336,301,670,29,610,49,584,321,73,45,17330,5158,694,141,198,47,701,173,270,136,55,37.4,1940,333.2,441,137.5,0,18.4,92,56,66,44.7,54,38,0,13,25.2,12.9,6.5,3.8,17330,5158,50.9,8,8.5,2.3,30,6.3,11.6,6,9,6.1,83,9.4,19.5,5.6,0,2.7,13.7,8.2,10.8,7.3,8.9,6.4,0,0.6,0.8268,0.6284,0.8792,0.9917,3.3261,0.8867,0.1327,0.9002,0.4254,0.5769,2.0352,0.5118,0.8674,0.9512,1.8186,0.9396,0,0.8349,0.9248,0.6836,0,2.4433,0.5533,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,4,717,272,30.7,9.4,4638,12368.80635,6335209.84
1,31,77,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2322, Harris County, Texas",7.4965,0.5473,7.65745054,17871,1469,6373,162,6163,243,2537,1613,271,188,39272,6937,1457,802,1345,537,5460,1099,1347,645,621,336.2,13483,1620.9,1737,903.4,2484,487.6,167,133,148,183.2,166,151,0,21,14.2,8.3,3,2,39272,6937,12.7,6.7,7.5,3.1,30.6,5.6,7.5,3.6,10.1,5.4,75.4,6.6,11.1,5.7,39,7.6,2.6,2.1,2.4,3,2.7,2.4,0,0.1,0.5774,0.1943,0.2314,0.6054,1.6085,0.3906,0.0944,0.9143,0.1364,0.6437,1.7888,0.3465,0.828,0.8837,1.7117,0.8897,0.9129,0.635,0.5682,0.2714,0,2.3875,0.5279,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2271,1142,12.7,5.9,6352,30033.24402,26735143.23
1,31,103,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2401, Harris County, Texas",10.2483,0.9028,1.38426949,3716,461,1814,62,1414,120,988,411,151,95,16760,3286,765,230,142,78,1162,347,220,101,209,92,3272,520.7,627,202.8,1297,184.6,13,20,176,87.5,141,82,0,13,26.6,10.1,7.9,4.9,16760,3286,35.2,9.2,3.8,2.2,31.3,8.5,5.9,2.8,14.8,6.4,88.1,8.8,18.5,5.6,71.5,9.9,0.7,1.1,12.4,6.1,10,5.6,0,0.3,0.8458,0.7398,0.8932,0.9528,3.4316,0.9115,0.0205,0.9278,0.0615,0.8348,1.8446,0.381,0.8964,0.9457,1.8421,0.9506,0.9742,0.4938,0.9409,0.7211,0,3.13,0.8325,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,2,5,1210,275,32.6,6.9,21330,11958.66746,4772499.752
1,31,104,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2404, Harris County, Texas",8.3689,0.6775,8.0671121,8110,662,2446,47,2403,84,2094,1151,46,56,21552,4612,1240,320,784,188,2950,715,388,157,337,164.9,6828,732.3,1085,376.8,37,45.2,326,144,89,74.5,41,47,0,19,25.8,12.8,1.4,1.7,21552,4612,27,7.1,9.7,2.4,36.4,8.3,4.8,2,14,6.8,84.2,5.9,14.3,4.9,1.5,1.8,13.3,6,3.7,3.1,1.7,2,0,0.2,0.8353,0.0412,0.7555,0.8981,2.5301,0.6754,0.185,0.9841,0.0305,0.8117,2.0113,0.4947,0.8744,0.9164,1.7908,0.9268,0.3451,0.8306,0.7001,0.1609,0,2.0367,0.3752,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,2112,463,26,5.4,26303,28320.43408,28078060.54
1,31,105,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2405.01, Harris County, Texas",10.1609,0.8945,1.26798715,6135,646,2574,45,2167,142,1625,510,193,99,13415,1678,1097,257,211,93,2292,363,474,206,536,143.6,6007,649.7,1536,387,1536,207,0,19,214,86.6,253,106,0,19,26.5,7.7,7.2,3.4,13415,1678,33.6,5.8,3.4,1.6,37.4,4.4,7.7,3.2,24.7,6.4,97.9,2.4,28.5,6.6,59.7,8,0,1.5,9.9,3.9,11.7,4.8,0,0.3,0.8444,0.6891,0.9575,0.9452,3.4362,0.9125,0.0176,0.9885,0.1478,0.9734,2.1273,0.5754,0.9716,0.9836,1.9552,0.9925,0.9599,0,0.9142,0.7681,0,2.6422,0.641,0,0,1,1,2,0,1,0,1,2,1,1,2,1,0,1,0,0,2,8,2203,520,35.9,6.3,4807,8431.057661,4377820.962
1,31,106,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2405.02, Harris County, Texas",10.5812,0.9323,0.24792884,5941,728,2884,73,2104,196,2147,568,294,191,12056,2015,1156,312,148,105,2268,407,479,191,590,180.6,5762,745.8,1515,448.5,1956,286.2,0,19,159,105.1,419,158,0,19,36.5,9.3,10.6,6.4,12056,2015,38.7,8.6,2.5,1.7,38.2,5,8.1,3.3,28,8.2,97,4,31.1,8.1,67.8,9.8,0,1.4,7.6,4.9,19.9,7.5,0,0.3,0.9357,0.8643,0.9753,0.9662,3.7415,0.9767,0.0125,0.991,0.1728,0.9857,2.162,0.5999,0.9616,0.9889,1.9505,0.991,0.9703,0,0.8727,0.8842,0,2.7272,0.6791,1,0,1,1,3,0,1,0,1,2,1,1,2,1,0,0,0,0,1,8,2401,541,40.4,7,1225,4469.357161,864885.4223
1,31,121,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2415, Harris County, Texas",10.6334,0.9366,12.84776567,8448,865,3457,128,3137,178,1599,699,380,194,19106,2154,1457,458,688,190,2102,488,1141,315,447,185.2,7460,902.9,761,280.8,1433,254.1,171,115,121,100.6,285,144,21,36,19,7.2,8.5,4,19106,2154,27.2,7.5,8.1,2.2,24.9,5.2,13.5,3.4,14.2,5.8,88.3,5.7,9.7,3.4,41.5,7.2,4.9,3.3,3.9,3.2,9.1,4.6,0.2,0.4,0.7131,0.7756,0.8329,0.8999,3.2215,0.8619,0.117,0.6838,0.5641,0.8173,2.1822,0.6135,0.8974,0.8656,1.763,0.9138,0.9211,0.6988,0.7156,0.6912,0.44,3.4667,0.9256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2561,589,30.4,6.1,23900,50457.84546,44640845.52
